HillBin,Model,WithWind,RMSE,R2,MAPE,n
Normal (85–109),RandomForest,TRUE,3.971618491700954,0.42789476232009993,3.655786215867063,2374
Normal (85–109),GAM,TRUE,4.224382030218689,0.35275716913832544,3.867391508018778,2374
Normal (85–109),Polynomial,TRUE,4.270330999549086,0.33860036048999564,3.91682702634683,2374
Normal (85–109),Linear,TRUE,4.290262609138914,0.3324118357989586,3.9434373989145612,2374
Large (110–184),RandomForest,TRUE,6.94319467068562,0.4553241782078369,4.588617193403909,2622
Large (110–184),GAM,TRUE,7.25851872054159,0.40472805367215126,4.855173901080905,2622
Large (110–184),Polynomial,TRUE,7.302361464233002,0.39751523912118336,4.870717132050579,2622
Large (110–184),Linear,TRUE,7.327245880148863,0.3934020418907831,4.901084898655433,2622
Ski Flying (≥185),RandomForest,TRUE,17.14706932196069,0.004891040520151657,7.9989776651773035,84
Ski Flying (≥185),GAM,TRUE,17.2915728471661,-0.011951798241459421,8.077714819208834,84
Ski Flying (≥185),Polynomial,TRUE,17.33376860968095,-0.01689665520359096,8.285177700194518,84
Ski Flying (≥185),Linear,TRUE,17.42859193520051,-0.02805282899449346,8.202719233596948,84
