Group,side,Model,n_train_side,n_test_side,model_m_per_ms,model_pts_per_ms,official_pts_per_ms,gap_pts_per_ms,gap_pct,RMSE,R2,windpts_bias_mean,windpts_mae,windpts_iqr,abs_gap_pct
Ski Flying (≥185),tail,Linear,648,170,16.55879614560537,19.870555374726443,21.6,-1.7294446252735582,-8.006688079970177,10.43106990099472,0.1758506555981475,0.18044504765093497,0.8722074150003272,1.3274250732357888,8.006688079970177
Large (110–184),tail,Linear,2628,656,5.423732841205841,9.762719114170514,14.85,-5.087280885829486,-34.257783742959504,5.766140085716467,0.3577797342895507,2.9395750978170407,2.9395750978170407,3.444148138141412,34.257783742959504
Large (110–184),head,Linear,3390,844,3.1180396743388616,5.612471413809951,10.8,-5.18752858619005,-48.032672094352314,5.8201816253344845,0.40552077321123847,-3.417331281746543,3.417331281746543,3.7853011888675594,48.032672094352314
Large (110–184),tail,RandomForest,2628,656,4.2327407532604155,7.618933355868748,14.85,-7.231066644131252,-48.694051475631326,5.461650719718511,0.42381562951908747,4.203362946064692,4.203362946064692,4.732207987154814,48.694051475631326
Ski Flying (≥185),head,Linear,671,160,4.653506685640879,5.584208022769055,14.4,-8.815791977230944,-61.22077761965934,13.870723145579586,0.23649038021390245,-4.579904919170053,4.579904919170053,5.0280409069647165,61.22077761965934
Ski Flying (≥185),head,RandomForest,671,160,4.050475125456927,4.8605701505483125,14.4,-9.539429849451688,-66.24604062119228,13.948829473731598,0.22786749371386283,-4.9558800211557426,4.9558800211557426,5.442323588811091,66.24604062119228
Normal (85–109),head,Linear,123,21,1.0048922529012385,2.009784505802477,8,-5.990215494197523,-74.87769367746904,2.690679916130528,0.14564263867244587,-2.041416535635153,2.041416535635153,2.076477577911108,74.87769367746904
Normal (85–109),head,RandomForest,123,21,0.40153854339713746,0.8030770867942749,8,-7.196922913205725,-89.96153641507156,2.297259557264284,0.3772186112421826,-2.4539955484198623,2.4539955484198623,2.510892248754061,89.96153641507156
Ski Flying (≥185),tail,RandomForest,648,170,1.308561190300992,1.5702734283611903,21.6,-20.02972657163881,-92.73021560943894,10.391130985802345,0.1821496482641427,8.31007618053037,8.31007618053037,9.017964945084621,92.73021560943894
Large (110–184),head,RandomForest,3390,844,-0.22451546874968642,-0.40412784374943556,10.8,-11.204127843749436,-103.74192447916144,5.444292486454024,0.4798285566706685,-7.526226596989025,7.526226596989025,8.27884821218711,103.74192447916144
Normal (85–109),tail,Linear,136,43,-0.404686104781898,-0.809372209563796,12,-12.809372209563795,-106.74476841303164,3.4853011984746343,0.6008636030544219,6.89506679154341,6.89506679154341,6.512779826877537,106.74476841303164
Normal (85–109),tail,RandomForest,136,43,-1.2089118332362148,-2.4178236664724295,12,-14.41782366647243,-120.14853055393691,2.751687695297969,0.7512065256765221,7.772607981754493,7.772607981754493,7.33309006990094,120.14853055393691
